scenario,replication,time_step,time_unit,active_entities,capacity_utilisation
A-S00,1,1,step,73,0.5148858560710545
A-S00,1,2,step,64,0.595238823416382
A-S00,1,3,step,65,0.43090555111131784
A-S00,1,4,step,65,0.48461616832684185
A-S00,1,5,step,65,0.6013512322957041
A-S00,1,6,step,66,0.6646328706316521
A-S00,1,7,step,65,0.5436226075479594
A-S00,1,8,step,59,0.7057310233123011
A-S00,1,9,step,60,0.617083674677106
A-S00,1,10,step,60,0.49445053213035145
A-S00,1,11,step,58,0.5122708891730413
A-S00,1,12,step,56,0.5357272814098125
A-S00,1,13,step,52,0.5645806923008497
A-S00,1,14,step,48,0.5012378183269728
A-S00,1,15,step,51,0.8075506321563165
A-S00,1,16,step,46,0.46583357717821067
A-S00,1,17,step,49,0.71682973460297
A-S00,1,18,step,48,0.5054830601504728
A-S00,1,19,step,42,0.7449963656094584
A-S00,1,20,step,40,0.547537026748988
A-S00,1,21,step,36,0.5906198028414931
A-S00,1,22,step,39,0.5243339373273533
A-S00,1,23,step,34,0.5892846612724909
A-S00,1,24,step,32,0.5351328866283324
A-S00,1,25,step,32,0.5170073609597573
A-S00,1,26,step,29,0.8162702260236366
A-S00,1,27,step,27,0.5803463231746756
A-S00,1,28,step,26,0.6608523535719277
A-S00,1,29,step,25,0.7437709558417259
A-S00,1,30,step,23,0.7395079325113647
A-S00,1,31,step,19,0.8453517028168238
A-S00,1,32,step,19,0.6926675242487949
A-S00,1,33,step,14,0.7374759663626156
A-S00,1,34,step,14,0.6851386045667063
A-S00,1,35,step,16,0.6261904169267575
A-S00,1,36,step,13,0.7092152761803399
A-S00,1,37,step,15,0.6151863704206081
A-S00,1,38,step,8,0.6023171596208998
A-S00,1,39,step,7,0.6255686210944167
A-S00,1,40,step,9,0.6846211513829361
A-S00,1,41,step,6,0.594758802428607
A-S00,1,42,step,3,0.6144703456390523
A-S00,1,43,step,10,0.6057026741847966
A-S00,1,44,step,5,0.7014152494100963
A-S00,1,45,step,8,0.7370552267044496
A-S00,1,46,step,6,0.7920394991655538
A-S00,1,47,step,8,0.6089369358691832
A-S00,1,48,step,6,0.6351329526080973
A-S00,1,49,step,4,0.770220281206402
A-S00,1,50,step,3,0.799555349513266
A-S00,1,51,step,0,0.6473789216755299
A-S00,1,52,step,1,0.7541918194007721
A-S00,1,53,step,5,0.7648198861468744
A-S00,1,54,step,5,0.7836281649389367
A-S00,1,55,step,0,0.804004672993184
A-S00,1,56,step,3,0.689797477170765
A-S00,1,57,step,2,0.8180760037591988
A-S00,1,58,step,2,0.8626529681625795
A-S00,1,59,step,6,0.8001102339331274
A-S00,1,60,step,1,0.7533641844792479
A-S00,2,1,step,68,0.5443806144159626
A-S00,2,2,step,65,0.6988624194093409
A-S00,2,3,step,64,0.6152402901854337
A-S00,2,4,step,67,0.5904677662370547
A-S00,2,5,step,60,0.5635442524075472
A-S00,2,6,step,66,0.6057682417016186
A-S00,2,7,step,64,0.590090483868682
A-S00,2,8,step,61,0.5031764723749107
A-S00,2,9,step,63,0.39725761415523997
A-S00,2,10,step,58,0.72173874344971
A-S00,2,11,step,55,0.6842825873602869
A-S00,2,12,step,55,0.5387153012366228
A-S00,2,13,step,56,0.4571274966529081
A-S00,2,14,step,51,0.3647870119152814
A-S00,2,15,step,51,0.4429176578559609
A-S00,2,16,step,52,0.6115057246622535
A-S00,2,17,step,47,0.5497198926930247
A-S00,2,18,step,42,0.5422063105823013
A-S00,2,19,step,45,0.6685557632107384
A-S00,2,20,step,40,0.6869145733004433
A-S00,2,21,step,39,0.5597082235306398
A-S00,2,22,step,39,0.6314825382043712
A-S00,2,23,step,35,0.6510950610270098
A-S00,2,24,step,32,0.5883375375160881
A-S00,2,25,step,30,0.5607982712983733
A-S00,2,26,step,29,0.717018178634832
A-S00,2,27,step,28,0.7497801827166237
A-S00,2,28,step,22,0.5131563436380897
A-S00,2,29,step,20,0.62969713324599
A-S00,2,30,step,20,0.7617670379888168
A-S00,2,31,step,20,0.7232686771417085
A-S00,2,32,step,20,0.6376715175672029
A-S00,2,33,step,20,0.8047226640945018
A-S00,2,34,step,13,0.5310589562885649
A-S00,2,35,step,13,0.7679219285099297
A-S00,2,36,step,10,0.7785320419387907
A-S00,2,37,step,12,0.5644385867121193
A-S00,2,38,step,13,0.7382992907568616
A-S00,2,39,step,8,0.6748769075932354
A-S00,2,40,step,10,0.7864157419958278
A-S00,2,41,step,7,0.7821920229784658
A-S00,2,42,step,12,0.7225196119086237
A-S00,2,43,step,12,0.7015228292158427
A-S00,2,44,step,8,0.7531350540276137
A-S00,2,45,step,4,0.8526409459453257
A-S00,2,46,step,7,0.770101255198728
A-S00,2,47,step,4,0.6276648947715461
A-S00,2,48,step,4,0.8980423739630663
A-S00,2,49,step,8,0.7263898316052956
A-S00,2,50,step,2,0.6697486813367695
A-S00,2,51,step,5,0.7455171335789406
A-S00,2,52,step,3,0.7076635433618598
A-S00,2,53,step,3,0.8234662889374009
A-S00,2,54,step,5,0.6346090248137604
A-S00,2,55,step,2,0.8521124069635966
A-S00,2,56,step,0,0.6088426532627575
A-S00,2,57,step,0,0.8271829949939593
A-S00,2,58,step,3,0.7795164010120194
A-S00,2,59,step,2,0.7964588075035531
A-S00,2,60,step,1,0.7084832332595701
A-S00,3,1,step,71,0.4187954638962122
A-S00,3,2,step,67,0.47326862692795885
A-S00,3,3,step,67,0.5965365709795762
A-S00,3,4,step,66,0.5197853658046258
A-S00,3,5,step,67,0.5384804432763485
A-S00,3,6,step,65,0.5479359622398723
A-S00,3,7,step,65,0.4475206843879566
A-S00,3,8,step,60,0.5986032099110854
A-S00,3,9,step,62,0.6444596217686323
A-S00,3,10,step,59,0.6242836021512103
A-S00,3,11,step,57,0.5779665138340381
A-S00,3,12,step,57,0.6956299544587751
A-S00,3,13,step,53,0.42465633678435394
A-S00,3,14,step,52,0.44442056475655767
A-S00,3,15,step,51,0.7129925028279359
A-S00,3,16,step,48,0.6160338995565455
A-S00,3,17,step,47,0.49923175505333245
A-S00,3,18,step,44,0.5469844171878164
A-S00,3,19,step,40,0.49245077414901073
A-S00,3,20,step,42,0.6528807636652838
A-S00,3,21,step,37,0.5332509078166984
A-S00,3,22,step,33,0.7479108656412384
A-S00,3,23,step,37,0.6297229214672624
A-S00,3,24,step,33,0.7872657287095222
A-S00,3,25,step,29,0.5708855191618861
A-S00,3,26,step,31,0.6064481192582408
A-S00,3,27,step,27,0.6660579150735735
A-S00,3,28,step,23,0.5739778283317857
A-S00,3,29,step,25,0.7982543932605153
A-S00,3,30,step,20,0.6687280872025264
A-S00,3,31,step,18,0.7377060899393746
A-S00,3,32,step,15,0.5833305341494186
