scenario,replication,entity_id,group,severity,severity_category,status,event,event_time,time_to_first_service,received_service,time_to_stage2,reached_stage2,x,y
A-S07,1,1,A,0.643,P2,ACTIVE,0,205,23,1,42,1,19.23,18.53
A-S07,1,2,C,0.227,P4,TERMINATED,1,240,39,1,400,1,41.98,44.7
A-S07,1,3,A,0.596,P2,ACTIVE,0,526,20,1,39,1,10.77,7.55
A-S07,1,4,A,0.653,P2,ACTIVE,0,434,30,1,188,1,19.49,14.85
A-S07,1,5,A,0.833,P1,ACTIVE,0,390,42,1,357,0,12.05,11.08
A-S07,1,6,B,0.352,P3,ACTIVE,0,61,34,0,82,1,18.4,3.92
A-S07,1,7,A,0.561,P2,ACTIVE,0,226,267,1,212,1,15.5,41.84
A-S07,1,8,A,0.658,P2,ACTIVE,0,156,175,1,301,1,21.61,46.83
A-S07,1,9,A,0.498,P3,ACTIVE,0,194,85,0,51,1,9.63,46.18
A-S07,1,10,B,0.629,P2,TERMINATED,1,460,72,0,63,0,28.34,35.22
A-S07,1,11,A,0.603,P2,ACTIVE,0,36,56,0,210,1,44.9,15.94
A-S07,1,12,C,0.907,P1,ACTIVE,0,252,73,1,74,1,16.78,43.83
A-S07,1,13,A,0.238,P4,ACTIVE,0,95,5,1,266,0,30.93,26.78
A-S07,1,14,A,0.12,P4,ACTIVE,0,316,155,1,104,1,35.29,19.75
A-S07,1,15,B,0.257,P3,ACTIVE,0,7,11,0,273,1,22.85,38.74
A-S07,1,16,A,0.702,P2,TERMINATED,1,18,42,1,104,0,44.09,22.91
A-S07,1,17,A,0.442,P3,ACTIVE,0,303,158,0,42,1,21.22,7.12
A-S07,1,18,A,0.346,P3,ACTIVE,0,286,25,0,320,1,15.64,19.53
A-S07,1,19,A,0.208,P4,ACTIVE,0,155,22,0,353,0,11.36,35.16
A-S07,1,20,B,0.108,P4,ACTIVE,0,5,40,1,243,0,38.26,38.43
A-S07,1,21,C,0.677,P2,ACTIVE,0,70,13,1,64,1,49.31,9.99
A-S07,1,22,B,0.788,P1,TERMINATED,1,167,264,0,133,0,37.86,25.37
A-S07,1,23,C,0.138,P4,TERMINATED,1,56,93,1,53,0,29.21,14.75
A-S07,1,24,A,0.416,P3,ACTIVE,0,157,71,1,98,1,31.12,35.13
A-S07,1,25,B,0.581,P2,ACTIVE,0,645,95,0,95,0,27,27.14
A-S07,1,26,A,0.18,P4,TERMINATED,1,161,55,1,190,1,47.24,9.18
A-S07,1,27,B,0.776,P1,TERMINATED,1,106,99,1,291,1,41.23,28.8
A-S07,1,28,B,0.483,P3,ACTIVE,0,583,21,0,129,1,44.24,18.63
