scenario,replication,time_step,time_unit,active_casualties,capacity_utilisation
M-S08,1,1,min,71,0.3674874862895011
M-S08,1,2,min,70,0.43561414801934367
M-S08,1,3,min,68,0.5577965056044911
M-S08,1,4,min,65,0.563429388943659
M-S08,1,5,min,65,0.6743935821799343
M-S08,1,6,min,65,0.40048962739766447
M-S08,1,7,min,66,0.6341020224858667
M-S08,1,8,min,62,0.5908250250831403
M-S08,1,9,min,58,0.3343775248128108
M-S08,1,10,min,61,0.6854119550755875
M-S08,1,11,min,59,0.4916340564535654
M-S08,1,12,min,55,0.7117655332892969
M-S08,1,13,min,54,0.5925908703157196
M-S08,1,14,min,52,0.5056703720452371
M-S08,1,15,min,50,0.6402821277433556
M-S08,1,16,min,47,0.6134313460447477
M-S08,1,17,min,43,0.5308997741088503
M-S08,1,18,min,48,0.4990758962987254
M-S08,1,19,min,41,0.6595528787397171
M-S08,1,20,min,39,0.6591562184080153
M-S08,1,21,min,40,0.6290799927708698
M-S08,1,22,min,37,0.6303230747438914
M-S08,1,23,min,33,0.8213515591821847
M-S08,1,24,min,36,0.6434055112866418
M-S08,1,25,min,31,0.7096155911335827
M-S08,1,26,min,32,0.5649559384500982
M-S08,1,27,min,26,0.6905284152448494
M-S08,1,28,min,26,0.5048611946799209
M-S08,1,29,min,26,0.5760530312129866
M-S08,1,30,min,22,0.6277981356808224
M-S08,1,31,min,21,0.783205428165001
M-S08,1,32,min,16,0.6002569864671826
M-S08,1,33,min,14,0.6499687801355781
M-S08,1,34,min,18,0.7300083929342669
M-S08,1,35,min,11,0.5641375634725652
M-S08,1,36,min,14,0.6178180583648831
M-S08,1,37,min,11,0.722550953262317
M-S08,1,38,min,13,0.7656623865627649
M-S08,1,39,min,13,0.7332319244800395
M-S08,1,40,min,8,0.5995156084613439
M-S08,1,41,min,8,0.8128426789972958
M-S08,1,42,min,5,0.6705999414529975
M-S08,1,43,min,12,0.837509859088012
M-S08,1,44,min,11,0.8202153330332667
M-S08,1,45,min,3,0.8940538206662331
M-S08,1,46,min,4,0.537151158991819
M-S08,1,47,min,6,0.8302707490030385
M-S08,1,48,min,2,0.7509472539537916
M-S08,1,49,min,2,0.9058648593519854
M-S08,1,50,min,5,0.8485392104962024
M-S08,1,51,min,5,0.8595619778813737
M-S08,1,52,min,4,0.6790487786470558
M-S08,1,53,min,3,0.8682199494687614
M-S08,1,54,min,2,0.7674663545209917
M-S08,1,55,min,2,0.7206288403615987
M-S08,1,56,min,2,0.7141130560527278
M-S08,1,57,min,1,0.6582346354458355
M-S08,1,58,min,0,0.852648936084535
M-S08,1,59,min,3,0.8399567228731798
M-S08,1,60,min,0,0.9486016790179446
M-S08,2,1,min,68,0.4198512323863105
M-S08,2,2,min,71,0.5274243364853131
M-S08,2,3,min,69,0.40655023155425674
M-S08,2,4,min,65,0.3982798322123806
M-S08,2,5,min,68,0.46193058550627153
M-S08,2,6,min,62,0.4040738155710032
M-S08,2,7,min,62,0.6679492057706082
M-S08,2,8,min,63,0.4175277110091662
M-S08,2,9,min,61,0.42172912112718275
M-S08,2,10,min,60,0.4797499671222919
M-S08,2,11,min,56,0.3874639690924853
M-S08,2,12,min,54,0.5421995562633223
M-S08,2,13,min,57,0.6504390954141409
M-S08,2,14,min,49,0.5783796220322722
M-S08,2,15,min,51,0.7732088925421018
M-S08,2,16,min,47,0.615738680014457
M-S08,2,17,min,45,0.6905736189086992
M-S08,2,18,min,42,0.6402566048926004
M-S08,2,19,min,40,0.4701341157681068
M-S08,2,20,min,40,0.6129479457788319
M-S08,2,21,min,37,0.7865075854307141
M-S08,2,22,min,34,0.49471374712672866
M-S08,2,23,min,33,0.5465968637224357
M-S08,2,24,min,30,0.6202816842454841
M-S08,2,25,min,32,0.6884648871381216
M-S08,2,26,min,30,0.5418152565020494
M-S08,2,27,min,24,0.698980983565588
M-S08,2,28,min,20,0.6774815278926877
M-S08,2,29,min,22,0.6136841795402082
M-S08,2,30,min,23,0.5669612465362683
M-S08,2,31,min,20,0.7561671490879305
M-S08,2,32,min,21,0.6659467357907755
M-S08,2,33,min,14,0.8774352146502713
M-S08,2,34,min,16,0.7186917894704739
M-S08,2,35,min,13,0.674994375559756
M-S08,2,36,min,10,0.789194781276666
M-S08,2,37,min,10,0.7520868917168904
M-S08,2,38,min,9,0.7076580087598627
M-S08,2,39,min,11,0.6252338736906219
M-S08,2,40,min,10,0.5765115945108035
M-S08,2,41,min,11,0.6280021474846691
M-S08,2,42,min,8,0.7295749923744537
M-S08,2,43,min,10,0.6900565394621461
M-S08,2,44,min,6,0.699282991918189
M-S08,2,45,min,6,0.7872383268611666
M-S08,2,46,min,6,0.6913433816007514
